trial_id,question_id,question_text,answer
0,click_presence,,3
0,click_confidence,,3
0,absence_frequency,,1
0,absence_strength,,0
1,click_presence,,0
1,click_confidence,,0
1,absence_frequency,,2
1,absence_strength,,2
2,click_presence,,3
2,click_confidence,,4
2,absence_frequency,,1
2,absence_strength,,0
3,click_presence,,4
3,click_confidence,,4
3,absence_frequency,,1
3,absence_strength,,0
4,click_presence,,4
4,click_confidence,,4
4,absence_frequency,,1
4,absence_strength,,0
5,click_presence,,4
5,click_confidence,,4
5,absence_frequency,,1
5,absence_strength,,0
6,click_presence,,4
6,click_confidence,,4
6,absence_frequency,,1
6,absence_strength,,0
7,click_presence,,4
7,click_confidence,,4
7,absence_frequency,,1
7,absence_strength,,0
8,click_presence,,4
8,click_confidence,,4
8,absence_frequency,,1
8,absence_strength,,0
9,click_presence,,4
9,click_confidence,,4
9,absence_frequency,,1
9,absence_strength,,0
10,click_presence,,3
10,click_confidence,,3
10,absence_frequency,,2
10,absence_strength,,3
11,click_presence,,3
11,click_confidence,,4
11,absence_frequency,,1
11,absence_strength,,0
12,click_presence,,4
12,click_confidence,,4
12,absence_frequency,,2
12,absence_strength,,2
13,click_presence,,4
13,click_confidence,,4
13,absence_frequency,,1
13,absence_strength,,0
14,click_presence,,4
14,click_confidence,,4
14,absence_frequency,,1
14,absence_strength,,0
15,click_presence,,4
15,click_confidence,,4
15,absence_frequency,,2
15,absence_strength,,3
16,click_presence,,3
16,click_confidence,,3
16,absence_frequency,,1
16,absence_strength,,0
17,click_presence,,4
17,click_confidence,,4
17,absence_frequency,,1
17,absence_strength,,0
